step,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,vibracion,avance_real,odo_izq,odo_der,terreno,slip,inclinacion,front_min,side_min,safety,action
104,68.1,69.4,71.1,62.4,72.0,68.2,64.6,70.3,0.027,-0.0,9.838,0.831,77.509,0.955,0.046,0.1005,10.01,7.36,carpet,0.0,0.2,68.1,64.6,ok,avanzando en carpet a 50% slip=0.0
105,62.7,71.6,68.6,64.8,67.8,67.1,65.6,64.4,0.022,-0.0,9.813,0.716,121.316,0.685,0.025,0.1005,10.111,7.461,carpet,0.0,0.1,62.7,65.6,ok,avanzando en carpet a 50% slip=0.0
106,62.9,65.7,64.7,65.9,66.5,60.2,65.2,72.1,0.016,-0.0,9.819,0.605,156.48,0.466,0.009,0.1005,10.211,7.561,carpet,0,0.1,62.9,65.2,ok,avanzando en carpet a 50% slip=0.0
107,67.8,65.6,71.6,65.2,69.5,68.8,71.9,65.2,0.008,-0.0,9.831,0.495,180.656,0.295,0.014,0.1005,10.312,7.662,carpet,0.0,0.0,65.2,65.6,ok,avanzando en carpet a 50% slip=0.0
108,66.3,69.8,67.6,69.1,66.4,67.2,65.4,66.2,-0.0,-0.0,9.802,0.405,195.968,0.164,0.03,0.1005,10.412,7.762,carpet,0,0.0,66.2,65.4,ok,avanzando en carpet a 50% slip=0.0
109,68.1,66.8,64.6,68.0,66.4,68.6,71.6,69.1,-0.008,-0.0,9.801,0.321,195.574,0.064,0.008,0.1005,10.513,7.863,carpet,0.0,0.0,68.1,66.8,ok,explorando (carpet)
110,63.7,71.0,65.2,63.3,70.2,68.3,66.1,70.2,0.001,-0.016,9.83,16.647,2710.354,-29.014,0.035,0.0,10.211,8.164,sand,0.0,0.1,63.7,66.1,ok,explorando (carpet)
111,66.1,63.5,65.3,63.0,63.9,65.8,67.3,66.9,-0.113,-0.003,9.795,13.162,2707.973,-23.779,0.12,0.0,10.211,8.164,metal,0.0,0.7,66.1,63.5,ok,explorando (carpet)
112,69.6,70.6,67.0,68.3,68.4,66.5,66.4,64.7,-0.095,-0.001,9.84,9.338,-457.379,-18.51,0.048,0.0,10.211,8.164,sand,0.0,0.6,64.7,66.4,ok,explorando (carpet)
113,67.7,68.8,63.5,71.9,67.9,66.4,68.0,70.9,-0.068,-0.002,9.842,7.376,-591.539,-15.405,0.027,0.0,10.211,8.164,sand,0.0,0.4,67.7,68.0,ok,explorando (carpet)
114,69.4,68.5,66.6,70.0,65.5,65.7,66.0,68.7,-0.04,-0.001,9.796,5.888,-689.961,-12.509,0.053,0.0,10.211,8.164,sand,0.0,0.2,68.7,66.0,ok,explorando (sand)
115,69.5,66.1,65.2,70.0,67.3,63.0,66.5,60.1,0.01,0.002,9.806,-0.688,111.869,34.895,0.051,0.0,10.513,7.863,sand,0.0,0.1,60.1,66.1,ok,explorando (sand)
